Hour,Load (MW),PV (MW),Wind (MW),Total Available (MW),ESS Action,Battery Discharge (MWh),FC Discharge (MW),Battery Charge (MWh),H2 Production (MWh)
0.0,1.5,0.0,0.7,0.7,🔋 Battery Only,0.8,0.0,0.0,0
1.0,1.5,0.0,0.57,0.57,🔋 Battery Only,0.93,0.0,0.0,0
2.0,1.5,0.0,0.73,0.73,🔋 Battery Only,0.77,0.0,0.0,0
3.0,1.5,0.0,0.9,0.9,🔋 Battery + 🔥 FC Backup,0.5,0.1,0.0,0
4.0,1.5,0.0,0.55,0.55,🔋 Battery + 🔥 FC Backup,0.0,0.95,0.0,0
5.0,1.5,0.0,0.55,0.55,🔋 Battery + 🔥 FC Backup,0.0,0.95,0.0,0
6.0,1.5,0.0,0.92,0.92,🔋 Battery + 🔥 FC Backup,0.0,0.58,0.0,0
7.0,1.5,0.39,0.75,1.14,🔋 Battery + 🔥 FC Backup,0.0,0.36,0.0,0
8.0,1.5,0.75,0.51,1.26,🔋 Battery + 🔥 FC Backup,0.0,0.24,0.0,0
9.0,1.5,1.06,0.71,1.77,🔋 Charging + H₂ Production,0.0,0.0,0.27,0
10.0,1.5,1.3,0.51,1.81,🔋 Charging + H₂ Production,0.0,0.0,0.31,0
11.0,1.5,1.45,0.51,1.96,🔋 Charging + H₂ Production,0.0,0.0,0.46,0
12.0,1.5,1.5,0.65,2.15,🔋 Charging + H₂ Production,0.0,0.0,0.65,0
13.0,1.5,1.45,0.22,1.67,🔋 Charging + H₂ Production,0.0,0.0,0.17,0
14.0,1.5,1.3,0.26,1.56,🔋 Charging + H₂ Production,0.0,0.0,0.06,0
15.0,1.5,1.06,0.49,1.55,🔋 Charging + H₂ Production,0.0,0.0,0.05,0
16.0,1.5,0.75,0.4,1.15,🔋 Battery Only,0.35,0.0,0.0,0
17.0,1.5,0.39,0.66,1.05,🔋 Battery Only,0.45,0.0,0.0,0
18.0,1.5,0.0,0.42,0.42,🔋 Battery Only,1.08,0.0,0.0,0
19.0,1.5,0.0,0.32,0.32,🔋 Battery + 🔥 FC Backup,0.09,1.09,0.0,0
20.0,1.5,0.0,0.89,0.89,🔋 Battery + 🔥 FC Backup,0.0,0.61,0.0,0
21.0,1.5,0.0,0.55,0.55,🔋 Battery + 🔥 FC Backup,0.0,0.95,0.0,0
22.0,1.5,0.0,0.61,0.61,🔋 Battery + 🔥 FC Backup,0.0,0.89,0.0,0
23.0,1.5,0.0,0.32,0.32,🔋 Battery + 🔥 FC Backup,0.0,1.18,0.0,0
